Fiber  Good B  B Offset     B Offset   Good R   R Offset     R Offset
       Fiber?  from fib     from fib   Fiber?   from fib     from fib
               1 bin=1      2 bin=2             1 bin=1      1 bin=2
                                                
205     1       1859.50      929.75     1        1856.80      928.40
206     1       1868.45      934.23     1        1865.75      932.88
207     1       1877.40      938.70     1        1874.70      937.35
208     1       1886.40      943.20     1        1883.70      941.85
209     1       1895.40      947.70     1        1892.70      946.35
210     1       1904.40      952.20     1        1901.70      950.85
211     1       1913.40      956.70     1        1910.70      955.35
212     1       1922.40      961.20     1        1919.70      959.85
213     1       1931.30      965.65     1        1928.60      964.30
214     1       1940.20      970.10     1        1937.50      968.75
215     1       1949.20      974.60     1        1946.50      973.25
216     1       1958.10      979.05     1        1955.40      977.70
217     1       1974.60      987.30     1        1973.90      986.95
218     1       1983.40      991.70     1        1982.70      991.35
219     1       1992.50      996.25     1        1991.80      995.90
220     1       2001.50      1000.75    1        2000.80      1000.40
221     1       2010.50      1005.25    1        2009.80      1004.90
222     1       2019.40      1009.70    1        2018.80      1009.40
223     1       2028.40      1014.20    1        2027.80      1013.90
224     1       2037.30      1018.65    1        2036.80      1018.40
225     1       2046.20      1023.10    1        2045.80      1022.90
226     1       2055.10      1027.55    1        2054.80      1027.40
227     1       2064.00      1032.00    1        2063.80      1031.90
228     1       2072.90      1036.45    1        2072.80      1036.40
229     1       2081.80      1040.90    1        2081.80      1040.90
230     1       2090.80      1045.40    1        2090.80      1045.40
231     1       2099.80      1049.90    1        2099.80      1049.90
232     1       2108.80      1054.40    1        2108.80      1054.40
233     1       2117.80      1058.90    1        2117.80      1058.90
234     1       2127.00      1063.50    1        2126.75      1063.38
235     1       2136.00      1068.00    1        2135.70      1067.85
236     1       2144.90      1072.45    1        2144.65      1072.33
237     1       2153.90      1076.95    1        2153.60      1076.80
238     1       2162.90      1081.45    1        2162.55      1081.28
239     1       2171.70      1085.85    1        2171.50      1085.75
240     1       2180.60      1090.30    1        2180.45      1090.23
241     1       2189.50      1094.75    1        2189.35      1094.68
242     1       2198.40      1099.20    1        2198.25      1099.13
243     1       2207.30      1103.65    0        2207.15      1103.58
244     1       2218.10      1109.05    1        2217.95      1108.98
245     1       2227.10      1113.55    1        2226.95      1113.48
246     1       2236.10      1118.05    1        2235.95      1117.98
247     1       2245.10      1122.55    1        2244.95      1122.48
248     1       2254.10      1127.05    1        2253.95      1126.98
249     1       2263.10      1131.55    1        2262.95      1131.48
250     1       2272.10      1136.05    1        2271.95      1135.98
251     1       2281.10      1140.55    1        2280.95      1140.48
252     1       2290.10      1145.05    1        2289.95      1144.98
253     1       2299.00      1149.50    1        2298.85      1149.43
254     1       2307.90      1153.95    1        2307.75      1153.88
255     1       2316.80      1158.40    1        2316.65      1158.33
256     1       2325.70      1162.85    1        2325.55      1162.78
257     1       2334.60      1167.30    1        2334.45      1167.23
258     1       2343.50      1171.75    1        2343.35      1171.68
259     1       2352.40      1176.20    1        2352.25      1176.13
260     1       2361.30      1180.65    1        2361.15      1180.58
261     1       2370.30      1185.15    1        2370.15      1185.08
262     1       2379.30      1189.65    1        2379.25      1189.63
263     1       2388.30      1194.15    1        2388.25      1194.13
264     1       2397.30      1198.65    1        2397.20      1198.60
265     1       2406.30      1203.15    1        2406.20      1203.10
266     1       2415.30      1207.65    1        2415.20      1207.60
267     1       2424.30      1212.15    1        2424.20      1212.10
268     1       2433.30      1216.65    1        2433.20      1216.60
269     1       2442.30      1221.15    1        2442.10      1221.05
270     1       2451.30      1225.65    1        2451.20      1225.60
271     1       2471.90      1235.95    1        2470.10      1235.05
272     1       2480.90      1240.45    1        2479.10      1239.55
273     1       2489.90      1244.95    1        2488.10      1244.05
274     1       2498.90      1249.45    1        2497.10      1248.55
275     1       2507.90      1253.95    1        2506.10      1253.05
276     1       2516.70      1258.35    1        2514.90      1257.45
277     1       2525.50      1262.75    1        2523.70      1261.85
278     1       2534.40      1267.20    1        2532.60      1266.30
279     1       2543.30      1271.65    1        2541.50      1270.75
280     1       2552.30      1276.15    1        2550.50      1275.25
281     1       2561.25      1280.63    1        2559.45      1279.73
282     1       2570.20      1285.10    1        2568.40      1284.20
283     1       2579.15      1289.58    1        2577.35      1288.68
284     1       2588.10      1294.05    1        2586.30      1293.15
285     1       2597.05      1298.53    1        2595.25      1297.63
286     1       2606.00      1303.00    1        2604.20      1302.10
287     1       2614.95      1307.48    1        2613.15      1306.58
288     1       2623.90      1311.95    1        2622.10      1311.05
289     1       2632.85      1316.43    1        2631.05      1315.53
290     1       2641.80      1320.90    1        2640.00      1320.00
291     1       2650.75      1325.38    1        2649.00      1324.50
292     1       2659.55      1329.78    1        2658.00      1329.00
293     1       2668.45      1334.23    1        2667.00      1333.50
